n,iterativo,dyv
100000,0.000017,0.000096
200000,0.000012,0.000120
300000,0.000017,0.000255
400000,0.000021,0.000179
500000,0.000030,0.000347
600000,0.000043,0.000322
700000,0.000265,0.000358
800000,0.000182,0.000841
900000,0.000347,0.001014
1000000,0.000207,0.000633
1100000,0.000204,0.000314
1200000,0.000493,0.001537
1300000,0.000185,0.000425
1400000,0.000710,0.002019
1500000,0.000617,0.001508
1600000,0.000875,0.000813
1700000,0.000689,0.001817
1800000,0.001227,0.002264
1900000,0.000630,0.000667
2000000,0.000497,0.000950
2100000,0.000506,0.001904
2200000,0.000405,0.000937
2300000,0.000514,0.002320
2400000,0.000498,0.000544
2500000,0.000666,0.001465
2600000,0.000660,0.002302
2700000,0.000482,0.000763
2800000,0.000618,0.002855
2900000,0.000544,0.001432
3000000,0.000779,0.003057
3100000,0.000762,0.000879
3200000,0.000710,0.000642
3300000,0.000536,0.001028
3400000,0.000640,0.003005
3500000,0.000427,0.001668
3600000,0.000498,0.002040
3700000,0.000555,0.000885
3800000,0.000747,0.001111
3900000,0.000874,0.003166
4000000,0.000553,0.000563
4100000,0.000592,0.002708
4200000,0.001189,0.000831
4300000,0.000636,0.002752
4400000,0.000197,0.002949
4500000,0.000194,0.001891
4600000,0.000683,0.002440
4700000,0.000804,0.000841
4800000,0.000177,0.001180
4900000,0.000660,0.001023
5000000,0.000534,0.003726
5100000,0.000931,0.001296
5200000,0.000562,0.001453
5300000,0.000554,0.001294
5400000,0.000650,0.000997
5500000,0.000514,0.001504
5600000,0.000530,0.001896
5700000,0.000622,0.002794
5800000,0.000829,0.004212
5900000,0.000608,0.001964
6000000,0.000640,0.002386
6100000,0.000703,0.003671
6200000,0.000592,0.002305
6300000,0.000699,0.001404
6400000,0.000851,0.000778
6500000,0.000590,0.003191
6600000,0.000611,0.001278
6700000,0.000588,0.002512
6800000,0.000561,0.001348
6900000,0.000510,0.001205
7000000,0.000570,0.002273
7100000,0.000508,0.002286
7200000,0.000486,0.001906
7300000,0.000493,0.002093
7400000,0.000635,0.000711
7500000,0.000689,0.001841
7600000,0.000610,0.001189
7700000,0.000569,0.000942
7800000,0.000792,0.001410
7900000,0.000509,0.000659
8000000,0.001164,0.001696
8100000,0.000583,0.002598
8200000,0.002308,0.006806
8300000,0.000582,0.001417
8400000,0.000543,0.002297
8500000,0.000478,0.002425
8600000,0.000589,0.002649
8700000,0.000534,0.002365
8800000,0.000508,0.000493
8900000,0.000488,0.001457
9000000,0.002968,0.007854
9100000,0.001154,0.002136
9200000,0.000617,0.000892
9300000,0.000510,0.002704
9400000,0.000780,0.004543
9500000,0.000502,0.000541
9600000,0.000673,0.001433
9700000,0.000613,0.002484
9800000,0.000658,0.003112
9900000,0.000530,0.001107
10000000,0.000557,0.002188
